participant,n_trials_x,n_outliers_3sd,pct_outliers,mean_max_amp,std_max_amp,acf_lag1_mean,acf_lag1_std,n_trials_y,snr_mean,snr_min,snr_std,flag_value_range,flag_high_outliers,flag_low_snr
sub-01,66160,955,1.4434703748488513,0.7719930720299851,0.22192734385350782,0.822055574919736,0.04966120399532634,2000,1.7631533928913796,1.3033210101299346,0.33287665683534107,True,True,False
sub-02,66160,601,0.908403869407497,0.7833879117203539,0.21546094350113287,0.7247763242751598,0.08238053050891743,2000,2.199708903042601,1.7616552137723445,0.33263718582173435,False,False,False
sub-03,66160,1430,2.1614268440145104,0.8176449615472746,0.38140479395613336,0.7455807961716471,0.09139261799830142,2000,1.8173227201553308,1.4101649701734067,0.306974468791801,False,True,False
sub-04,66160,2093,3.1635429262394195,0.7767472266526482,0.38552637194482636,0.8222434987264458,0.07248779630199462,2000,2.6374191037703305,1.9826241838870136,0.6069024815093207,True,True,False
sub-05,66160,724,1.094316807738815,0.7491476844963851,0.23017101526620418,0.7954929026905255,0.07479057544917087,2000,3.0907017549508145,1.4828431288896022,1.5065119423777342,False,True,False
sub-06,66160,730,1.103385731559855,0.7204019469350049,0.20299669934316236,0.787728372543178,0.08517296893689413,2000,3.531910519113009,1.615179616405304,1.744333417782134,False,True,False
sub-07,66160,779,1.1774486094316807,0.7802834176285677,0.23006296169521984,0.744384897112161,0.06628278958808856,2000,1.5446617539755843,1.305274226427307,0.17162933246076323,False,True,False
sub-08,66160,1188,1.7956469165659008,0.8130091346257431,0.3655385557333248,0.8223052100665099,0.06130495654377227,2000,1.7747451941097079,1.356518697204757,0.22943683773863255,False,True,False
sub-09,66160,1727,2.6103385731559854,0.7535584709185668,0.312335096460848,0.8042360044992148,0.06648690035873166,2000,1.6708352457378275,1.2496625688578666,0.2872091081787139,False,True,False
sub-10,66160,713,1.0776904474002418,0.7475536014965547,0.21269718755092448,0.7940975813228692,0.08188932829334358,2000,1.8894506511835578,1.3542141493450055,0.34585347279004924,False,True,False
