participant,acf_lag1_mean,acf_lag1_std,n_trials
sub-01,0.822055574919736,0.04966120399532634,2000
sub-02,0.7247763242751598,0.08238053050891743,2000
sub-03,0.7455807961716471,0.09139261799830142,2000
sub-04,0.8222434987264458,0.07248779630199462,2000
sub-05,0.7954929026905255,0.07479057544917087,2000
sub-06,0.787728372543178,0.08517296893689413,2000
sub-07,0.744384897112161,0.06628278958808856,2000
sub-08,0.8223052100665099,0.06130495654377227,2000
sub-09,0.8042360044992148,0.06648690035873166,2000
sub-10,0.7940975813228692,0.08188932829334358,2000
