participant,condition,max_cp_prob
sub-01,95,0.02000000000000002
sub-01,15,0.02000000000000001
sub-01,30,0.02000000000000002
sub-01,158,0.02000000000000001
sub-01,128,0.02000000000000001
sub-01,115,0.02000000000000002
sub-01,69,0.02000000000000001
sub-01,170,0.02000000000000001
sub-01,174,0.02000000000000001
sub-01,45,0.02000000000000002
sub-01,66,0.02000000000000002
sub-01,182,0.02000000000000002
sub-01,165,0.020000000000000028
sub-01,78,0.02000000000000001
sub-01,186,0.02000000000000002
sub-01,177,0.02000000000000001
sub-01,56,0.02000000000000001
sub-01,152,0.02000000000000002
sub-01,82,0.02000000000000002
sub-01,68,0.02000000000000002
sub-05,95,0.02000000000000001
sub-05,15,0.02000000000000001
sub-05,30,0.02000000000000001
sub-05,158,0.02000000000000002
sub-05,128,0.02000000000000001
sub-05,115,0.02000000000000002
sub-05,69,0.02000000000000002
sub-05,170,0.02000000000000001
sub-05,174,0.02000000000000001
sub-05,45,0.02000000000000002
sub-05,66,0.02000000000000002
sub-05,182,0.02000000000000002
sub-05,165,0.02000000000000001
sub-05,78,0.02000000000000002
sub-05,186,0.02000000000000002
sub-05,177,0.02000000000000001
sub-05,56,0.02000000000000002
sub-05,152,0.02000000000000002
sub-05,82,0.02000000000000002
sub-05,68,0.02000000000000001
sub-10,95,0.02000000000000002
sub-10,15,0.02000000000000001
sub-10,30,0.02000000000000002
sub-10,158,0.02000000000000001
sub-10,128,0.02000000000000002
sub-10,115,0.02000000000000002
sub-10,69,0.02000000000000001
sub-10,170,0.02000000000000002
sub-10,174,0.02000000000000002
sub-10,45,0.02000000000000002
sub-10,66,0.02000000000000002
sub-10,182,0.02000000000000001
sub-10,165,0.02000000000000001
sub-10,78,0.02000000000000002
sub-10,186,0.02000000000000002
sub-10,177,0.02000000000000002
sub-10,56,0.02000000000000001
sub-10,152,0.02000000000000002
sub-10,82,0.02000000000000001
sub-10,68,0.02000000000000002
