participant,band,log_power_mean,log_power_std,power_mean
sub-01,delta,-3.5606819071360714,1.0738740181667088,0.04563923154136632
sub-01,theta,-2.7852871002071957,1.0260489943207232,0.09103521415718596
sub-01,alpha,-2.640904625491184,1.0794946771063565,0.10974055081572225
sub-01,beta,-3.3680302919299487,0.8844243483521587,0.04398817283394594
sub-01,gamma,-5.065674564729479,0.9358204037890351,0.009419379111236966
sub-02,delta,-3.7932052930225177,0.7932989178153734,0.03033745685662763
sub-02,theta,-3.2473107876647096,0.8234058323119274,0.0541576155922032
sub-02,alpha,-3.0882359629527993,0.8608807733352147,0.06446746637693375
sub-02,beta,-2.783484317553952,0.5144945430343604,0.07089944917790436
sub-02,gamma,-4.066953327675214,0.5616238305313763,0.020923532275605804
sub-03,delta,-3.5231042472848406,0.8931915514867295,0.0435441114003535
sub-03,theta,-2.925711121098938,0.998119314940574,0.08774551004775744
sub-03,alpha,-3.2740908140877876,0.929262572325179,0.058053111269399583
sub-03,beta,-2.967162256190108,0.6309891344512476,0.06405346910280368
sub-03,gamma,-4.34398595169757,0.6072879237358814,0.01680693127320313
sub-04,delta,-3.7333844554266844,1.1153249538759515,0.051071303499099656
sub-04,theta,-3.3457376913466175,1.0863556543078425,0.06696931106919264
sub-04,alpha,-3.6326311402305222,1.2076973809659866,0.045830752837783574
sub-04,beta,-3.5277050000133094,0.9904806368651746,0.04255310640385831
sub-04,gamma,-5.202464262239933,0.9878670235317083,0.010916731387166522
sub-05,delta,-3.21094250942825,0.7398635292818472,0.05239979866237758
sub-05,theta,-3.2749890177377066,0.7673150118507851,0.05055350543279254
sub-05,alpha,-3.676561404721307,0.7691833215792145,0.03387514170089201
sub-05,beta,-2.718042188903895,0.6342078120605744,0.08340940925526648
sub-05,gamma,-3.4483587406132212,0.8690737341070175,0.05214970587351795
sub-06,delta,-3.3115304480335186,0.7561572592140067,0.047796396473569855
sub-06,theta,-3.2478722575453447,0.7701679098163238,0.05227978397554776
sub-06,alpha,-3.6000004983303806,0.8454753559320819,0.04027462248602088
sub-06,beta,-2.9640725337924696,0.5883434906103359,0.06228431593068831
sub-06,gamma,-3.6918083038828278,0.5883572207700731,0.030400878951561922
sub-07,delta,-3.786338935460631,0.940623538069984,0.03463724430897827
sub-07,theta,-3.19200641416383,1.0395961620570688,0.0706108630461032
sub-07,alpha,-2.6619827146140236,1.008039870189546,0.11442277953924847
sub-07,beta,-2.7675636671766077,0.559862012071082,0.07345272940694153
sub-07,gamma,-4.812389358194728,0.4260262956961917,0.00893923378533892
sub-08,delta,-3.3069905296855295,0.8585921871952065,0.054379265074464
sub-08,theta,-2.5642179428276455,0.9202745927626472,0.1273311335058852
sub-08,alpha,-3.207777907637574,0.7626946443329118,0.05350239069496031
sub-08,beta,-3.101520604875007,0.6098417625011294,0.05531522902620951
sub-08,gamma,-4.163887397703292,0.8213019096900446,0.02540415463904535
sub-09,delta,-3.4782162518574293,0.754000084706111,0.040717767664633635
sub-09,theta,-3.082635401389103,0.7056386725610443,0.058871062665263596
sub-09,alpha,-3.2791467351345034,0.9228777635635438,0.06128954185703682
sub-09,beta,-2.69555125570073,0.7003221001929433,0.08931783219750783
sub-09,gamma,-3.4448087476063334,0.950893873561125,0.05604234396579565
sub-10,delta,-3.3533307759439346,0.8222361035342121,0.048295302916029736
sub-10,theta,-3.076559290373988,0.9740888475440942,0.07631126670298895
sub-10,alpha,-2.9564134320918805,0.8665183895254631,0.0760038650059272
sub-10,beta,-2.962312806997449,0.4881368626689152,0.05833964596796418
sub-10,gamma,-4.470271012604088,0.42916486147692434,0.012673186044089872
