participant,train_var_mean,train_var_std,test_var_mean,test_var_std
sub-01,0.4778083959176043,0.5804399680801036,0.49977011596372506,0.06540696675202795
sub-02,0.43717173804584886,0.2663435932797896,0.4723840385376925,0.02970363131510554
sub-03,0.3920262682350273,0.1454481352066104,0.41318366679730917,0.021811451008436795
sub-04,0.4697656660287122,2.679138066180883,0.3954020142633948,0.05204575376077665
sub-05,0.5754153500902724,0.1613992956769378,0.6396592125292716,0.021286396198503848
sub-06,0.6048920505446398,0.2696692103835992,0.49376282279013184,0.018866012611743935
sub-07,0.4155721238347256,0.08141645673497137,0.5061355536826001,0.06829983716471144
sub-08,0.4518344418693519,0.1723144189046378,0.4739402972135037,0.03360578996677413
sub-09,0.43558041906651196,0.12431077388334065,0.5226107576811672,0.019092759625244603
sub-10,0.3872777773079195,0.08277223437566227,0.4718979398435132,0.05767345827666765
