participant,baseline_var,early_var,late_var
sub-01,0.05862451146858757,0.08555042863989738,0.11486103792442769
sub-02,0.0646316974826476,0.08484995209184407,0.10778203334919646
sub-03,0.05067111848015478,0.07808583388400886,0.12692462803396812
sub-04,0.03901236747270277,0.06431365781016862,0.1327182452497868
sub-05,0.03909644258073462,0.0783259622582095,0.11477777616731079
sub-06,0.03847242567580479,0.07440374065829033,0.11270496331669429
sub-07,0.061876029116605245,0.0825532537763673,0.10841479024539866
sub-08,0.06228137177645534,0.09738883752821413,0.13236593945951872
sub-09,0.04580646212238331,0.07895712646998129,0.11568333049089975
sub-10,0.04416407650785671,0.07663195247975997,0.11400545485557294
