participant,min,max,mean,std
sub-01,-328.7584416400444,85.14618876376869,-0.03503607400085798,0.8400870602744809
sub-02,-67.81184467419057,19.34827050503969,-0.04511794346147208,0.7808274553138974
sub-03,-29.874819441228023,27.810837433702257,-0.061383178598966436,0.7681401565624392
sub-04,-180.341181336528,191.11100607754292,-0.0939268577602471,0.8153280046806307
sub-05,-32.33682242253196,32.339231144092714,-0.06161590803184499,0.9047768004746256
sub-06,-42.75489761961735,26.406419836573168,-0.030513843683861803,0.9230962388647325
sub-07,-15.175645448704733,8.453561969729725,-0.026997413717426037,0.7882523670083653
sub-08,-16.34617835084838,14.886945012002174,-0.08202424655630833,0.822351832308101
sub-09,-19.07366840201493,17.86090221816138,-0.04082186290485247,0.7770329667165838
sub-10,-13.601058216463082,11.266017767053448,-0.0470359819309961,0.7809023136960241
