participant,n_trials,n_outliers_3sd,pct_outliers,mean_max_amp,std_max_amp
sub-01,66160,955,1.4434703748488513,0.7719930720299851,0.22192734385350782
sub-02,66160,601,0.908403869407497,0.7833879117203539,0.21546094350113287
sub-03,66160,1430,2.1614268440145104,0.8176449615472746,0.38140479395613336
sub-04,66160,2093,3.1635429262394195,0.7767472266526482,0.38552637194482636
sub-05,66160,724,1.094316807738815,0.7491476844963851,0.23017101526620418
sub-06,66160,730,1.103385731559855,0.7204019469350049,0.20299669934316236
sub-07,66160,779,1.1774486094316807,0.7802834176285677,0.23006296169521984
sub-08,66160,1188,1.7956469165659008,0.8130091346257431,0.3655385557333248
sub-09,66160,1727,2.6103385731559854,0.7535584709185668,0.312335096460848
sub-10,66160,713,1.0776904474002418,0.7475536014965547,0.21269718755092448
